sys_index	s_sku	s_item_name	s_manufacturer	s_price	s_mpn	s_upc	s_asin	s_gtin	s_variant_info	s_image_url	s_product_url	s_brand	s_category	SERP_URL	SERP_KEY	specs	r_product_url	r_item_name	r_description	r_image_url	r_price	r_seller	r_mpn	r_gtin
1	GS1	OtterBox Black Symmetry Series Case for iPhone X/XS		59.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/iPhone-Clayco-Full-body-Protector-Release/dp/B075YRV6KK	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	$19.99		77-57089	660543469247.0
2	GS1	OtterBox Black Symmetry Series Case for iPhone X/XS		59.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/OtterBox-SYMMETRY-Case-iPhone-Max/dp/B07GBM7R1F	https://www.amazon.com/gp/offer-listing/B07GBM7R1F?condition=new	OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK		https://m.media-amazon.com/images/I/61sUvtGKGWL._AC_UL320_.jpg	$21.24		77-57082	
3	GS10	Create Your Own Rectangular Family Return Address Self-inking Stamp		26.35	z256816650932639528					 https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ_0-ubNv4-3-fTYO9oZU8ksMN3ieMm3p7BHvptF0X2-coEuoniPtIqoXxA2uyFeBMUH_ix8nSWO2MEyvsTNIR_FwC319iOr_W5sIEPDfC1Dgv4e-fbmnG5Jg&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:9765597550406460651			https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Create%20Your%20Own%20Rectangular%20Family%20Return%20Address%20Self-inking%20Stamp	itemname	https://www.amazon.com/Draw-Your-Own-Manga-Rectangular/dp/1721709673	https://www.amazon.com/gp/offer-listing/1721709673?condition=new	Draw Your Own Manga: How to Write A Comic Workbook with Blank Manga Book - Four Line Rectangular Format		https://m.media-amazon.com/images/I/810D7+6vdVL._AC_UL320_.jpg	$9.95		z256816650932639528	1231232.0
4	GS2	OtterBox Black Symmetry Series Case for iPhone X/XS		69.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/iPhone-Clayco-Full-body-Protector-Release/dp/B075YRV6KK	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	$19.99		77-57089	660543469247.0
5	GS2	OtterBox Black Symmetry Series Case for iPhone X/XS		69.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/OtterBox-SYMMETRY-Case-iPhone-Max/dp/B07GBM7R1F	https://www.amazon.com/gp/offer-listing/B07GBM7R1F?condition=new	OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK		https://m.media-amazon.com/images/I/61sUvtGKGWL._AC_UL320_.jpg	$21.24		77-57082	
6	GS20	Create Your Own Rectangular Family Return Address Self-inking Stamp		36.35	z256816650932639528					 https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ_0-ubNv4-3-fTYO9oZU8ksMN3ieMm3p7BHvptF0X2-coEuoniPtIqoXxA2uyFeBMUH_ix8nSWO2MEyvsTNIR_FwC319iOr_W5sIEPDfC1Dgv4e-fbmnG5Jg&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:9765597550406460651			https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Create%20Your%20Own%20Rectangular%20Family%20Return%20Address%20Self-inking%20Stamp	itemname	https://www.amazon.com/Draw-Your-Own-Manga-Rectangular/dp/1721709673	https://www.amazon.com/gp/offer-listing/1721709673?condition=new	Draw Your Own Manga: How to Write A Comic Workbook with Blank Manga Book - Four Line Rectangular Format		https://m.media-amazon.com/images/I/810D7+6vdVL._AC_UL320_.jpg	$9.95		z256816650932639528	1231232.0
7	GS3	OtterBox Black Symmetry Series Case for iPhone X/XS		62.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/iPhone-Clayco-Full-body-Protector-Release/dp/B075YRV6KK	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	$19.99		77-57089	660543469247.0
8	GS3	OtterBox Black Symmetry Series Case for iPhone X/XS		62.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/OtterBox-SYMMETRY-Case-iPhone-Max/dp/B07GBM7R1F	https://www.amazon.com/gp/offer-listing/B07GBM7R1F?condition=new	OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK		https://m.media-amazon.com/images/I/61sUvtGKGWL._AC_UL320_.jpg	$21.24		77-57082	
9	GS30	Create Your Own Rectangular Family Return Address Self-inking Stamp		32.35	z256816650932639528					 https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ_0-ubNv4-3-fTYO9oZU8ksMN3ieMm3p7BHvptF0X2-coEuoniPtIqoXxA2uyFeBMUH_ix8nSWO2MEyvsTNIR_FwC319iOr_W5sIEPDfC1Dgv4e-fbmnG5Jg&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:9765597550406460651			https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Create%20Your%20Own%20Rectangular%20Family%20Return%20Address%20Self-inking%20Stamp	itemname	https://www.amazon.com/Draw-Your-Own-Manga-Rectangular/dp/1721709673	https://www.amazon.com/gp/offer-listing/1721709673?condition=new	Draw Your Own Manga: How to Write A Comic Workbook with Blank Manga Book - Four Line Rectangular Format		https://m.media-amazon.com/images/I/810D7+6vdVL._AC_UL320_.jpg	$9.95		z256816650932639528	1231232.0
10	GS4	OtterBox Black Symmetry Series Case for iPhone X/XS		42.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/iPhone-Clayco-Full-body-Protector-Release/dp/B075YRV6KK	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	$19.99		77-57089	660543469247.0
11	GS4	OtterBox Black Symmetry Series Case for iPhone X/XS		42.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/OtterBox-SYMMETRY-Case-iPhone-Max/dp/B07GBM7R1F	https://www.amazon.com/gp/offer-listing/B07GBM7R1F?condition=new	OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK		https://m.media-amazon.com/images/I/61sUvtGKGWL._AC_UL320_.jpg	$21.24		77-57082	
12	GS40	Create Your Own Rectangular Family Return Address Self-inking Stamp		22.35	z256816650932639528					 https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ_0-ubNv4-3-fTYO9oZU8ksMN3ieMm3p7BHvptF0X2-coEuoniPtIqoXxA2uyFeBMUH_ix8nSWO2MEyvsTNIR_FwC319iOr_W5sIEPDfC1Dgv4e-fbmnG5Jg&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:9765597550406460651			https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Create%20Your%20Own%20Rectangular%20Family%20Return%20Address%20Self-inking%20Stamp	itemname	https://www.amazon.com/Draw-Your-Own-Manga-Rectangular/dp/1721709673	https://www.amazon.com/gp/offer-listing/1721709673?condition=new	Draw Your Own Manga: How to Write A Comic Workbook with Blank Manga Book - Four Line Rectangular Format		https://m.media-amazon.com/images/I/810D7+6vdVL._AC_UL320_.jpg	$9.95		z256816650932639528	1231232.0
13	GS5	OtterBox Black Symmetry Series Case for iPhone X/XS		72.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/iPhone-Clayco-Full-body-Protector-Release/dp/B075YRV6KK	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	$19.99		77-57089	660543469247.0
14	GS5	OtterBox Black Symmetry Series Case for iPhone X/XS		72.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/OtterBox-SYMMETRY-Case-iPhone-Max/dp/B07GBM7R1F	https://www.amazon.com/gp/offer-listing/B07GBM7R1F?condition=new	OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK		https://m.media-amazon.com/images/I/61sUvtGKGWL._AC_UL320_.jpg	$21.24		77-57082	
15	GS50	Create Your Own Rectangular Family Return Address Self-inking Stamp		37.35	z256816650932639528					 https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ_0-ubNv4-3-fTYO9oZU8ksMN3ieMm3p7BHvptF0X2-coEuoniPtIqoXxA2uyFeBMUH_ix8nSWO2MEyvsTNIR_FwC319iOr_W5sIEPDfC1Dgv4e-fbmnG5Jg&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:9765597550406460651			https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Create%20Your%20Own%20Rectangular%20Family%20Return%20Address%20Self-inking%20Stamp	itemname	https://www.amazon.com/Draw-Your-Own-Manga-Rectangular/dp/1721709673	https://www.amazon.com/gp/offer-listing/1721709673?condition=new	Draw Your Own Manga: How to Write A Comic Workbook with Blank Manga Book - Four Line Rectangular Format		https://m.media-amazon.com/images/I/810D7+6vdVL._AC_UL320_.jpg	$9.95		z256816650932639528	1231232.0
16	GS6	OtterBox Black Symmetry Series Case for iPhone X/XS		82.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/iPhone-Clayco-Full-body-Protector-Release/dp/B075YRV6KK	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	$19.99		77-57089	660543469247.0
17	GS6	OtterBox Black Symmetry Series Case for iPhone X/XS		82.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/OtterBox-SYMMETRY-Case-iPhone-Max/dp/B07GBM7R1F	https://www.amazon.com/gp/offer-listing/B07GBM7R1F?condition=new	OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK		https://m.media-amazon.com/images/I/61sUvtGKGWL._AC_UL320_.jpg	$21.24		77-57082	
18	GS60	Create Your Own Rectangular Family Return Address Self-inking Stamp		26.35	z256816650932639528					 https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ_0-ubNv4-3-fTYO9oZU8ksMN3ieMm3p7BHvptF0X2-coEuoniPtIqoXxA2uyFeBMUH_ix8nSWO2MEyvsTNIR_FwC319iOr_W5sIEPDfC1Dgv4e-fbmnG5Jg&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:9765597550406460651			https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Create%20Your%20Own%20Rectangular%20Family%20Return%20Address%20Self-inking%20Stamp	itemname	https://www.amazon.com/Draw-Your-Own-Manga-Rectangular/dp/1721709673	https://www.amazon.com/gp/offer-listing/1721709673?condition=new	Draw Your Own Manga: How to Write A Comic Workbook with Blank Manga Book - Four Line Rectangular Format		https://m.media-amazon.com/images/I/810D7+6vdVL._AC_UL320_.jpg	$9.95		z256816650932639528	1231232.0
19	GS7	OtterBox Black Symmetry Series Case for iPhone X/XS		39.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/iPhone-Clayco-Full-body-Protector-Release/dp/B075YRV6KK	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	$19.99		77-57089	660543469247.0
20	GS7	OtterBox Black Symmetry Series Case for iPhone X/XS		39.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/OtterBox-SYMMETRY-Case-iPhone-Max/dp/B07GBM7R1F	https://www.amazon.com/gp/offer-listing/B07GBM7R1F?condition=new	OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK		https://m.media-amazon.com/images/I/61sUvtGKGWL._AC_UL320_.jpg	$21.24		77-57082	
21	GS70	Create Your Own Rectangular Family Return Address Self-inking Stamp		12.35	z256816650932639528					 https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ_0-ubNv4-3-fTYO9oZU8ksMN3ieMm3p7BHvptF0X2-coEuoniPtIqoXxA2uyFeBMUH_ix8nSWO2MEyvsTNIR_FwC319iOr_W5sIEPDfC1Dgv4e-fbmnG5Jg&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:9765597550406460651			https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Create%20Your%20Own%20Rectangular%20Family%20Return%20Address%20Self-inking%20Stamp	itemname	https://www.amazon.com/Draw-Your-Own-Manga-Rectangular/dp/1721709673	https://www.amazon.com/gp/offer-listing/1721709673?condition=new	Draw Your Own Manga: How to Write A Comic Workbook with Blank Manga Book - Four Line Rectangular Format		https://m.media-amazon.com/images/I/810D7+6vdVL._AC_UL320_.jpg	$9.95		z256816650932639528	1231232.0
22	GS8	OtterBox Black Symmetry Series Case for iPhone X/XS		48.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/iPhone-Clayco-Full-body-Protector-Release/dp/B075YRV6KK	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	$19.99		77-57089	660543469247.0
23	GS8	OtterBox Black Symmetry Series Case for iPhone X/XS		48.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/OtterBox-SYMMETRY-Case-iPhone-Max/dp/B07GBM7R1F	https://www.amazon.com/gp/offer-listing/B07GBM7R1F?condition=new	OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK		https://m.media-amazon.com/images/I/61sUvtGKGWL._AC_UL320_.jpg	$21.24		77-57082	
24	GS80	Create Your Own Rectangular Family Return Address Self-inking Stamp		12.35	z256816650932639528					 https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ_0-ubNv4-3-fTYO9oZU8ksMN3ieMm3p7BHvptF0X2-coEuoniPtIqoXxA2uyFeBMUH_ix8nSWO2MEyvsTNIR_FwC319iOr_W5sIEPDfC1Dgv4e-fbmnG5Jg&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:9765597550406460651			https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Create%20Your%20Own%20Rectangular%20Family%20Return%20Address%20Self-inking%20Stamp	itemname	https://www.amazon.com/Draw-Your-Own-Manga-Rectangular/dp/1721709673	https://www.amazon.com/gp/offer-listing/1721709673?condition=new	Draw Your Own Manga: How to Write A Comic Workbook with Blank Manga Book - Four Line Rectangular Format		https://m.media-amazon.com/images/I/810D7+6vdVL._AC_UL320_.jpg	$9.95		z256816650932639528	1231232.0
25	GS1	OtterBox Black Symmetry Series Case for iPhone X/XS		59.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/iPhone-Clayco-Full-body-Protector-Release/dp/B075YRV6KK	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	$19.99		77-57089	660543469247.0
26	GS1	OtterBox Black Symmetry Series Case for iPhone X/XS		59.95	77-57089			660543469247.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	itemname	https://www.amazon.com/OtterBox-SYMMETRY-Case-iPhone-Max/dp/B07GBM7R1F	https://www.amazon.com/gp/offer-listing/B07GBM7R1F?condition=new	OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK		https://m.media-amazon.com/images/I/61sUvtGKGWL._AC_UL320_.jpg	$21.24		77-57082	
